1AD,20180111,0.27,0.27,0.26,0.26,28540
1ST,20180111,0.057,0.057,0.057,0.057,25000
3DP,20180111,0.13,0.135,0.13,0.135,986735
3PL,20180111,1.565,1.58,1.565,1.575,14886
4CE,20180111,0.115,0.12,0.11,0.11,4747369
4DS,20180111,0.066,0.072,0.065,0.072,8130212
5GN,20180111,0.755,0.755,0.69,0.72,262358
88E,20180111,0.031,0.032,0.031,0.032,17466987
8EC,20180111,0.99,0.99,0.99,0.99,5000
8IH,20180111,0.28,0.285,0.28,0.28,53000
9SP,20180111,0.072,0.072,0.07,0.07,534774
A1C,20180111,0.245,0.245,0.24,0.24,140000
A2M,20180111,7.33,7.35,7,7.01,7338713
A3D,20180111,1.11,1.11,0.985,1.04,55243
AAA,20180111,50.11,50.12,50.11,50.11,47134
AAC,20180111,1.295,1.3,1.275,1.28,1780527
AAD,20180111,2,2.02,1.975,1.99,632270
AAJ,20180111,0.033,0.034,0.031,0.032,2542324
AAP,20180111,0.03,0.03,0.03,0.03,25000
AAR,20180111,0.095,0.098,0.095,0.098,175876
AB1,20180111,0.028,0.028,0.026,0.026,429935
ABA,20180111,5.27,5.29,5.27,5.29,3000
ABC,20180111,6.48,6.51,6.43,6.5,577900
ABP,20180111,3.92,3.94,3.88,3.88,1122332
ABR,20180111,0.385,0.39,0.38,0.385,61253
ABT,20180111,0.44,0.44,0.425,0.44,74840
ABU,20180111,0.081,0.083,0.081,0.081,107708
ABV,20180111,0.006,0.006,0.006,0.006,49960
ABX,20180111,0.115,0.115,0.115,0.115,6982
AC8,20180111,1.62,1.62,1.435,1.545,4117771
ACB,20180111,0.055,0.055,0.051,0.051,144837
ACG,20180111,0.036,0.037,0.036,0.037,405043
ACK,20180111,1.39,1.39,1.36,1.36,16661
ACL,20180111,0.015,0.015,0.013,0.013,6298043
ACQ,20180111,1.145,1.145,1.145,1.145,41735
ACR,20180111,0.147,0.155,0.145,0.155,92817
ACS,20180111,0.014,0.014,0.014,0.014,65000
ACW,20180111,0.043,0.043,0.04,0.04,3458977
ACX,20180111,7.68,7.71,7.68,7.7,498828
AD1,20180111,0.12,0.12,0.11,0.11,295000
AD8,20180111,2.66,2.72,2.66,2.72,32709
ADA,20180111,2.42,2.44,2.38,2.43,23576
ADH,20180111,2.19,2.3,2.15,2.2,526715
ADJ,20180111,0.04,0.04,0.038,0.039,285550
ADN,20180111,0.007,0.007,0.006,0.006,400000
ADO,20180111,0.019,0.02,0.018,0.018,2288173
ADV,20180111,0.026,0.026,0.024,0.024,47809365
ADY,20180111,0.007,0.007,0.007,0.007,4258620
AEB,20180111,0.049,0.049,0.042,0.044,13205804
AEE,20180111,0.024,0.024,0.024,0.024,100000
AEF,20180111,154,163.24,153.99,158.7,1132
AEG,20180111,1.07,1.07,1.065,1.07,65680
AEV,20180111,0.045,0.045,0.044,0.044,27000
AFG,20180111,1.665,1.78,1.655,1.705,315668
AFI,20180111,6.34,6.34,6.3,6.3,214282
AFR,20180111,0.041,0.041,0.038,0.04,39614
AFT,20180111,0.001,0.001,0.001,0.001,2000000
AGE,20180111,0.011,0.011,0.01,0.01,3114148
