AAC,20090212,1.52,1.52,1.37,1.37,433974
AAH,20090212,0.79,0.805,0.78,0.8,114835
AAM,20090212,0.14,0.14,0.14,0.14,150000
AAR,20090212,0.025,0.025,0.024,0.024,55000
AAU,20090212,0.23,0.235,0.23,0.235,48000
AAX,20090212,2.1,2.27,2.1,2.22,1392279
ABB,20090212,6.44,6.71,6.37,6.68,183103
ABC,20090212,1.63,1.7,1.63,1.69,1082162
ABJ,20090212,0.015,0.015,0.013,0.014,745850
ABP,20090212,0.255,0.26,0.245,0.255,1674141
ABU,20090212,0.015,0.015,0.015,0.015,40000
ABW,20090212,5.93,5.93,5.93,5.93,500
ABY,20090212,0.155,0.155,0.145,0.155,358735
ACE,20090212,0.055,0.055,0.055,0.055,325691
ACL,20090212,0.145,0.145,0.14,0.14,120035
ACR,20090212,0.45,0.45,0.45,0.45,32518
ACS,20090212,0.075,0.075,0.075,0.075,3164
ACU,20090212,0.025,0.025,0.025,0.025,181949
ACZ,20090212,0.15,0.15,0.15,0.15,33879
ADE,20090212,0.038,0.04,0.037,0.038,159552
ADI,20090212,0.06,0.06,0.06,0.06,40000
ADL,20090212,0.009,0.012,0.009,0.012,78220
ADU,20090212,0.25,0.26,0.25,0.26,120000
ADY,20090212,0.032,0.033,0.029,0.029,19881730
AEC,20090212,1.49,1.5,1.49,1.5,31034
AED,20090212,0.85,0.895,0.84,0.88,310420
AEO,20090212,1.11,1.11,1.045,1.055,123437
AEP,20090212,1.97,2,1.97,1.98,91300
AEU,20090212,0.31,0.31,0.29,0.29,127368
AEX,20090212,0.005,0.006,0.005,0.005,2735000
AEZ,20090212,0.048,0.048,0.045,0.046,920844
AFI,20090212,3.87,3.93,3.87,3.93,234279
AGF,20090212,0.84,0.85,0.83,0.84,237735
AGG,20090212,9.01,9.15,9.01,9.15,95099
AGK,20090212,14.2,14.48,14.09,14.37,899100
AGO,20090212,1.14,1.21,1.14,1.19,3733583
AGS,20090212,0.41,0.435,0.41,0.42,31689
AHD,20090212,4.4,4.4,4.3,4.3,141325
AHE,20090212,0.57,0.59,0.57,0.59,28100
AIA,20090212,1.575,1.575,1.575,1.575,6296
AIE,20090212,0.04,0.04,0.04,0.04,120000
AIO,20090212,0.74,0.74,0.67,0.695,9214790
AIQ,20090212,0.97,0.975,0.965,0.975,11200
AIX,20090212,1.67,1.785,1.66,1.745,376447
AIZ,20090212,0.76,0.78,0.75,0.78,3920
AJL,20090212,3.7,3.75,3.6,3.61,81928
AKK,20090212,0.037,0.037,0.037,0.037,50000
ALB,20090212,0.091,0.095,0.088,0.088,737050
ALD,20090212,0.39,0.43,0.39,0.405,1187387
ALF,20090212,0.63,0.65,0.625,0.65,75797
ALK,20090212,0.165,0.175,0.165,0.175,239264
ALL,20090212,3.8,3.85,3.64,3.8,1477343
ALR,20090212,1.05,1.05,1.04,1.04,11912
ALS,20090212,1.05,1.105,1.03,1.04,1108573
ALT,20090212,0.055,0.055,0.055,0.055,16500
ALY,20090212,0.055,0.06,0.055,0.06,60000
ALZ,20090212,0.25,0.265,0.24,0.24,1498737
AMA,20090212,0.03,0.03,0.029,0.03,715000
AMC,20090212,5.08,5.31,5.02,5.3,4295686
AMM,20090212,0.105,0.105,0.105,0.105,316800
AMP,20090212,5,5.18,4.97,5.1,5216299
AMU,20090212,0.285,0.285,0.28,0.28,80000
AND,20090212,1.3,1.34,1.29,1.34,1058428
ANG,20090212,0.88,0.88,0.865,0.865,30600
ANH,20090212,0.06,0.06,0.059,0.059,25000
ANM,20090212,0.016,0.016,0.016,0.016,7225
ANN,20090212,9.25,9.25,8.51,8.8,2020953
ANP,20090212,0.04,0.04,0.036,0.04,322000
ANQ,20090212,0.11,0.12,0.11,0.12,54000
ANZ,20090212,12.2,12.32,11.83,11.89,12106712
AOD,20090212,1.15,1.165,1.15,1.165,122181
AOE,20090212,2.55,2.63,2.39,2.53,7372966
AOK,20090212,0.07,0.07,0.07,0.07,174500
AOS,20090212,0.006,0.006,0.006,0.006,1700000
APA,20090212,2.9,3.15,2.9,3.02,571223
APD,20090212,0.19,0.19,0.19,0.19,59700
APG,20090212,0.037,0.04,0.037,0.037,1278140
API,20090212,0.505,0.505,0.5,0.505,42500
APK,20090212,0.145,0.145,0.145,0.145,5000
APN,20090212,1.395,1.55,1.395,1.53,742654
APZ,20090212,0.3,0.3,0.295,0.3,757640
AQA,20090212,2.22,2.33,2.22,2.33,101025
AQD,20090212,0.105,0.11,0.105,0.11,84194
AQP,20090212,4.14,4.35,4.1,4.28,542368
ARA,20090212,0.22,0.22,0.205,0.205,50000
ARE,20090212,0.09,0.095,0.089,0.09,377853
ARG,20090212,5.3,5.3,5.16,5.16,102136
ARH,20090212,0.39,0.42,0.39,0.395,18692
ARJ,20090212,0.74,0.74,0.74,0.74,650
ARP,20090212,2.9,2.95,2.9,2.95,9940
ARR,20090212,0.023,0.023,0.023,0.023,14000
ARU,20090212,0.3,0.3,0.285,0.3,72466
ARV,20090212,0.037,0.037,0.037,0.037,5000
ARW,20090212,0.009,0.009,0.009,0.009,4286
ARX,20090212,0.019,0.019,0.015,0.016,293600
ASB,20090212,1.79,1.815,1.79,1.79,10608
ASL,20090212,0.85,0.855,0.835,0.835,133579
ASX,20090212,26.43,27.25,26.38,27,842818
ATI,20090212,0.009,0.009,0.006,0.006,1459950
ATR,20090212,1.48,1.65,1.48,1.65,19287
ATV,20090212,0.06,0.06,0.06,0.06,340000
AUB,20090212,3.64,3.64,3.64,3.64,250
AUI,20090212,5,5,4.95,4.95,3125
AUK,20090212,0.02,0.02,0.02,0.02,50000
AUN,20090212,0.775,0.825,0.775,0.825,1310303
AUW,20090212,0.8,0.84,0.8,0.81,3735416
AVA,20090212,0.08,0.08,0.08,0.08,597159
AVE,20090212,0.9,0.9,0.9,0.9,29285
AVG,20090212,0.34,0.345,0.31,0.335,17447
AVH,20090212,0.1,0.1,0.1,0.1,15000
AVJ,20090212,0.295,0.32,0.295,0.32,26200
AVM,20090212,1.91,1.91,1.85,1.86,10700
AVO,20090212,1.815,1.89,1.8,1.83,1067079
AVS,20090212,0.015,0.015,0.013,0.013,205000
AVX,20090212,0.071,0.079,0.071,0.077,328484
AWB,20090212,1.485,1.55,1.36,1.37,2371891
AWC,20090212,1.22,1.28,1.2,1.265,8045581
AWE,20090212,2.52,2.56,2.48,2.52,651287
AXA,20090212,4.1,4.2,4.03,4.14,1892556
AXE,20090212,0.055,0.055,0.055,0.055,55000
AXI,20090212,0.04,0.04,0.04,0.04,75710
AXM,20090212,0.28,0.3,0.28,0.285,1488889
AXO,20090212,0.125,0.125,0.125,0.125,40000
AXY,20090212,0.035,0.035,0.035,0.035,30000
