360,20191119,3.2,3.21,3.05,3.05,386279
14D,20191119,0.18,0.18,0.16,0.175,401117
1AD,20191119,0.12,0.125,0.12,0.12,150324
1AG,20191119,0.032,0.035,0.031,0.035,268530
1ST,20191119,0.087,0.087,0.083,0.085,533337
2BE,20191119,0.13,0.13,0.13,0.13,60000
3DP,20191119,0.059,0.063,0.059,0.063,1721889
3PL,20191119,0.875,0.9,0.875,0.895,11667
4CE,20191119,0.015,0.015,0.015,0.015,158300
4DS,20191119,0.057,0.057,0.057,0.057,611859
5GN,20191119,0.82,0.82,0.77,0.77,292891
88E,20191119,0.016,0.016,0.015,0.016,25848335
8CO,20191119,0.125,0.13,0.11,0.12,606598
8IH,20191119,0.08,0.08,0.08,0.08,14000
9SP,20191119,0.02,0.02,0.019,0.019,2151030
A1G,20191119,0.185,0.185,0.185,0.185,10000
A1M,20191119,0.335,0.35,0.33,0.35,51616
A2B,20191119,1.625,1.625,1.6,1.6,5351
A2M,20191119,14.12,14.2,13.19,13.37,16334443
A3D,20191119,0.25,0.25,0.235,0.235,73833
A4N,20191119,0.14,0.14,0.14,0.14,145142
AAA,20191119,50.105,50.11,50.1,50.1,128997
AAC,20191119,0.98,1.02,0.98,1.01,790495
AAJ,20191119,0.003,0.003,0.003,0.003,1800000
AAR,20191119,0.094,0.094,0.093,0.093,237934
AAU,20191119,0.009,0.009,0.009,0.009,100000
ABA,20191119,5.68,5.68,5.65,5.68,7709
ABC,20191119,3.2,3.31,3.17,3.29,1699129
ABP,20191119,3.82,3.84,3.8,3.82,1884949
ABR,20191119,0.31,0.31,0.285,0.285,349591
ABV,20191119,0.029,0.03,0.029,0.03,1581010
ABX,20191119,0.115,0.12,0.11,0.12,106440
AC8,20191119,0.25,0.25,0.22,0.225,1200043
ACB,20191119,0.011,0.011,0.01,0.01,2011660
ACF,20191119,0.31,0.31,0.3,0.3,44294
ACQ,20191119,1.21,1.23,1.21,1.23,77888
ACR,20191119,0.21,0.215,0.175,0.175,1323946
ACW,20191119,0.045,0.056,0.045,0.056,40054713
AD8,20191119,7.9,8.18,7.9,8.05,544304
ADA,20191119,0.455,0.455,0.44,0.44,76585
ADH,20191119,1.84,1.845,1.8,1.8,251352
ADI,20191119,2.97,2.98,2.96,2.97,138154
ADJ,20191119,0.026,0.026,0.025,0.025,892312
ADN,20191119,0.048,0.049,0.047,0.048,5207170
ADO,20191119,0.02,0.02,0.019,0.02,4179620
ADT,20191119,1.15,1.325,1.15,1.31,9189278
ADV,20191119,0.003,0.003,0.003,0.003,2019230
ADX,20191119,0.009,0.009,0.009,0.009,755
ADY,20191119,0.009,0.009,0.009,0.009,64762
AEE,20191119,0.004,0.005,0.004,0.005,1301673
AEF,20191119,3.38,3.45,3.37,3.44,78050
AEG,20191119,1,1.01,1,1.01,85955
AER,20191119,0.11,0.11,0.1,0.11,203000
AFG,20191119,2.55,2.58,2.48,2.55,176507
AFI,20191119,6.76,6.82,6.74,6.75,231627
AFP,20191119,2.68,2.68,2.68,2.68,163
AGG,20191119,5.94,5.95,5.79,5.89,7514
AGH,20191119,0.445,0.445,0.425,0.43,864796
AGI,20191119,0.75,0.775,0.75,0.77,17669
AGL,20191119,20.15,20.26,20.06,20.25,1457937
AGM,20191119,1.99,1.995,1.99,1.995,48978
AGY,20191119,0.091,0.092,0.087,0.088,1018308
AHF,20191119,0.12,0.12,0.115,0.115,213132
AHL,20191119,0.011,0.011,0.01,0.01,209999
AHQ,20191119,0.13,0.13,0.13,0.13,64226
AHY,20191119,1,1,0.925,0.965,544737
AHZ,20191119,0.08,0.105,0.08,0.098,3244216
AIA,20191119,8.46,8.48,8.4,8.42,123849
AIQ,20191119,0.11,0.11,0.11,0.11,2478
AIS,20191119,0.057,0.059,0.056,0.058,674835
AIY,20191119,0.03,0.03,0.03,0.03,100000
AIZ,20191119,2.62,2.66,2.6,2.6,78310
AJL,20191119,0.068,0.07,0.066,0.066,55000
AJM,20191119,0.06,0.061,0.059,0.061,1701243
AJQ,20191119,0.072,0.072,0.058,0.058,1960220
AKG,20191119,0.55,0.6,0.53,0.56,208281
AKM,20191119,0.012,0.012,0.012,0.012,227391
AKP,20191119,16.78,16.83,16.75,16.75,6198
AL8,20191119,0.038,0.038,0.033,0.033,1587504
ALC,20191119,0.2,0.215,0.195,0.21,3730214
ALF,20191119,0.98,0.985,0.975,0.985,228458
ALG,20191119,1.155,1.16,1.12,1.155,855281
ALI,20191119,2.32,2.32,2.29,2.31,150493
ALK,20191119,0.635,0.65,0.615,0.625,1111816
ALL,20191119,32.12,32.32,31.56,31.8,1658727
ALQ,20191119,8.19,8.2,8.035,8.08,2902261
ALU,20191119,34.9,34.95,34.33,34.73,478039
ALX,20191119,7.71,7.84,7.68,7.84,1523842
AMA,20191119,1.295,1.3,1.255,1.275,2977706
AMC,20191119,14.74,14.84,14.68,14.77,3619424
AMD,20191119,0.007,0.007,0.007,0.007,22857
AME,20191119,0.031,0.034,0.031,0.034,22195
AMG,20191119,0.09,0.09,0.086,0.09,1064175
AMH,20191119,0.935,0.935,0.93,0.93,50000
AMI,20191119,0.435,0.44,0.43,0.435,1656892
AML,20191119,0.12,0.12,0.12,0.12,80291
AMN,20191119,0.52,0.525,0.5,0.5,13000
AMO,20191119,0.12,0.12,0.12,0.12,4000
AMP,20191119,1.975,2.02,1.962,2.02,19774643
AMS,20191119,1.73,1.815,1.7,1.8,711822
AMT,20191119,0.2,0.2,0.2,0.2,22500
ANA,20191119,0.033,0.034,0.033,0.033,1476000
ANG,20191119,0.18,0.18,0.18,0.18,100000
ANL,20191119,0.002,0.002,0.002,0.002,1500000
ANN,20191119,28.96,29.295,28.86,29.28,313784
ANO,20191119,6.89,6.9,6.68,6.76,40374
ANP,20191119,0.092,0.095,0.089,0.089,990261
ANR,20191119,0.19,0.19,0.18,0.18,63995
ANW,20191119,0.002,0.002,0.002,0.002,4000000
ANZ,20191119,25.3,25.42,25.2,25.42,6036835
AO1,20191119,0.006,0.006,0.006,0.006,43723
AOF,20191119,2.83,2.89,2.83,2.89,3666858
AON,20191119,0.029,0.029,0.029,0.029,254575
AOP,20191119,0.22,0.22,0.22,0.22,105633
AOU,20191119,0.078,0.078,0.078,0.078,40908
APA,20191119,11.12,11.13,11.02,11.09,1804886
APC,20191119,0.09,0.09,0.09,0.09,8000
APD,20191119,0.54,0.54,0.54,0.54,43574
APE,20191119,10.01,10.27,9.83,9.84,491242
API,20191119,1.35,1.355,1.33,1.35,1043638
APL,20191119,0.99,1,0.99,0.995,784942
APT,20191119,32.3,32.4,30.88,31.34,2338193
APV,20191119,0.34,0.43,0.34,0.405,3032340
APX,20191119,26.6,26.79,25.76,26.27,1644827
APZ,20191119,1.17,1.17,1.17,1.17,134
AQC,20191119,0.16,0.16,0.16,0.16,870
AQD,20191119,0.013,0.013,0.013,0.013,1966472
AQG,20191119,7.02,7.22,7,7.1,650520
AQI,20191119,0.068,0.068,0.06,0.06,1564060
AQR,20191119,3.42,3.44,3.42,3.44,34298
AQX,20191119,0.036,0.037,0.034,0.036,2031296
AQZ,20191119,2.51,2.64,2.51,2.55,395647
AR9,20191119,0.135,0.135,0.135,0.135,110740
ARA,20191119,0.62,0.62,0.62,0.62,9691
ARB,20191119,19.25,19.5,19.14,19.49,240739
ARD,20191119,0.017,0.017,0.017,0.017,422155
ARE,20191119,0.004,0.005,0.004,0.005,244
ARF,20191119,2.86,2.92,2.86,2.92,156940
ARG,20191119,8.51,8.54,8.51,8.52,109808
ARL,20191119,0.685,0.725,0.685,0.725,338467
ARN,20191119,0.145,0.145,0.145,0.145,50000
ARQ,20191119,0.395,0.395,0.385,0.385,221154
ARS,20191119,0.021,0.023,0.021,0.022,840797
ARU,20191119,0.093,0.093,0.091,0.091,670240
AS1,20191119,0.17,0.17,0.17,0.17,30788
ASB,20191119,4.51,4.54,4.45,4.49,1075574
ASG,20191119,1.625,1.65,1.625,1.65,25386
ASH,20191119,0.36,0.365,0.36,0.365,169381
ASN,20191119,0.03,0.031,0.03,0.03,448830
AST,20191119,1.755,1.765,1.74,1.765,5030416
ASX,20191119,80.21,81.21,80.02,81.14,586704
ATC,20191119,0.12,0.12,0.115,0.115,155458
ATH,20191119,0.028,0.028,0.025,0.025,746740
ATL,20191119,0.455,0.455,0.415,0.425,119534
ATP,20191119,0.008,0.008,0.008,0.008,17000
ATS,20191119,0.11,0.115,0.11,0.115,1153331
ATX,20191119,0.077,0.077,0.077,0.077,1000
AU1,20191119,0.07,0.07,0.07,0.07,20000
AU8,20191119,0.12,0.12,0.11,0.117,1548274
AUB,20191119,12.36,12.36,12.05,12.07,64143
AUC,20191119,0.013,0.013,0.013,0.013,92092
AUH,20191119,0.005,0.005,0.005,0.005,100000
AUI,20191119,9.76,9.76,9.76,9.76,2466
AUR,20191119,0.013,0.015,0.013,0.015,3501240
AUT,20191119,0.009,0.009,0.008,0.008,1912250
AUZ,20191119,0.017,0.017,0.016,0.016,3810391
AV1,20191119,0.22,0.22,0.2,0.2,212737
AVA,20191119,0.11,0.115,0.11,0.115,96657
AVC,20191119,0.245,0.25,0.24,0.25,121000
AVE,20191119,0.004,0.004,0.003,0.003,4213572
AVG,20191119,0.5,0.52,0.5,0.52,129420
AVH,20191119,0.575,0.58,0.545,0.565,11942451
AVJ,20191119,0.59,0.592,0.585,0.585,39952
AVL,20191119,0.011,0.011,0.011,0.011,400000
AVN,20191119,2.8,2.82,2.78,2.8,256243
AVZ,20191119,0.042,0.043,0.041,0.042,3271069
AWC,20191119,2.49,2.495,2.43,2.47,13827822
AX1,20191119,1.63,1.63,1.565,1.57,705884
AX8,20191119,0.035,0.035,0.035,0.035,199619
AXE,20191119,0.13,0.132,0.13,0.13,25000
AYF,20191119,5.97,5.97,5.91,5.91,5021
AYR,20191119,0.002,0.002,0.002,0.002,400000
AYS,20191119,0.4,0.4,0.395,0.395,60278
AZI,20191119,0.006,0.006,0.006,0.006,8908843
AZJ,20191119,5.78,5.79,5.7,5.78,7203086
AZM,20191119,0.033,0.033,0.032,0.033,3898275
AZS,20191119,0.12,0.12,0.11,0.11,143416
AZV,20191119,0.083,0.083,0.083,0.083,3700
AZY,20191119,0.013,0.014,0.013,0.014,1164784
B2Y,20191119,0.055,0.056,0.042,0.042,355777
BAF,20191119,0.9,0.9,0.89,0.89,625999
BAL,20191119,13.17,13.19,13.16,13.17,881911
BAP,20191119,7.25,7.28,7.165,7.2,845976
BAR,20191119,0.023,0.023,0.023,0.023,619398
BAS,20191119,0.003,0.003,0.002,0.002,2020000
BAT,20191119,0.007,0.007,0.007,0.007,1139007
BAU,20191119,0.04,0.04,0.04,0.04,21000
BBC,20191119,0.6,0.6,0.6,0.6,7000
BBN,20191119,3.72,3.82,3.65,3.73,230084
BBX,20191119,0.18,0.18,0.18,0.18,10000
BC8,20191119,0.405,0.405,0.395,0.395,3822
BCB,20191119,0.058,0.06,0.056,0.06,699799
BCC,20191119,0.28,0.3,0.28,0.28,137203
BCI,20191119,0.175,0.175,0.17,0.17,267371
BCK,20191119,0.025,0.026,0.025,0.025,103902
BCN,20191119,0.032,0.034,0.032,0.033,3327612
BCT,20191119,0.165,0.18,0.16,0.18,1097151
BD1,20191119,0.032,0.038,0.032,0.036,12738460
BDA,20191119,0.34,0.34,0.33,0.34,161468
BDC,20191119,0.093,0.097,0.093,0.096,6060056
BDG,20191119,0.078,0.078,0.07,0.07,32000
BEE,20191119,0.02,0.02,0.02,0.02,28623
BEM,20191119,0.05,0.05,0.05,0.05,142477
BEN,20191119,10.63,10.72,10.58,10.72,809802
BET,20191119,0.13,0.16,0.13,0.16,2481804
BFC,20191119,0.09,0.09,0.081,0.081,186781
BFG,20191119,0.99,0.995,0.99,0.99,50094
BGA,20191119,3.9,3.95,3.9,3.95,475307
BGL,20191119,0.49,0.5,0.455,0.46,3339108
BGT,20191119,0.145,0.16,0.145,0.16,402503
BHL,20191119,0.16,0.16,0.16,0.16,5000
BHP,20191119,37.3,37.56,37.21,37.47,5793181
BID,20191119,0.55,0.59,0.55,0.59,172483
BIN,20191119,2.99,3.01,2.96,3.01,2573776
BIQ,20191119,0.017,0.017,0.017,0.017,25000
BIS,20191119,1.05,1.07,1.05,1.05,25058
BIT,20191119,0.067,0.067,0.064,0.065,1170441
BKI,20191119,1.63,1.635,1.625,1.63,324688
BKL,20191119,83.49,83.7,81.75,82.09,39283
BKT,20191119,0.048,0.049,0.046,0.048,967411
BKW,20191119,18.38,18.59,18.3,18.51,140221
BKY,20191119,0.25,0.25,0.24,0.245,6214
BLD,20191119,4.96,5.04,4.93,5.03,2674326
BLG,20191119,0.12,0.12,0.12,0.12,14852
BLK,20191119,0.013,0.014,0.012,0.013,38640547
BLT,20191119,0.051,0.052,0.049,0.052,1444244
BLU,20191119,0.05,0.052,0.05,0.051,1092323
BLX,20191119,1.25,1.25,1.22,1.22,21472
BLY,20191119,1.95,2.1,1.95,2.05,220960
BLZ,20191119,0.02,0.02,0.02,0.02,184102
BMG,20191119,0.003,0.003,0.003,0.003,300000
BMN,20191119,0.039,0.041,0.039,0.04,513682
BNL,20191119,0.006,0.006,0.006,0.006,3880674
BNO,20191119,0.1,0.1,0.1,0.1,220491
BOA,20191119,0.24,0.265,0.225,0.265,41903
BOC,20191119,0.125,0.125,0.12,0.125,77713
