,Trade Date,21/04/2026,21/04/2026,20/04/2026,20/04/2026,17/04/2026,17/04/2026,16/04/2026,16/04/2026,15/04/2026,15/04/2026,14/04/2026,14/04/2026,13/04/2026,13/04/2026,10/04/2026,10/04/2026,9/04/2026,9/04/2026,8/04/2026,8/04/2026,7/04/2026,7/04/2026,2/04/2026,2/04/2026,1/04/2026,1/04/2026,31/03/2026,31/03/2026,30/03/2026,30/03/2026,27/03/2026,27/03/2026,26/03/2026,26/03/2026,25/03/2026,25/03/2026,24/03/2026,24/03/2026,23/03/2026,23/03/2026,20/03/2026,20/03/2026,19/03/2026,19/03/2026,18/03/2026,18/03/2026,17/03/2026,17/03/2026,16/03/2026,16/03/2026,13/03/2026,13/03/2026,12/03/2026,12/03/2026,11/03/2026,11/03/2026,10/03/2026,10/03/2026,9/03/2026,9/03/2026,6/03/2026,6/03/2026,5/03/2026,5/03/2026,4/03/2026,4/03/2026,3/03/2026,3/03/2026,2/03/2026,2/03/2026,27/02/2026,27/02/2026,26/02/2026,26/02/2026,25/02/2026,25/02/2026,24/02/2026,24/02/2026,23/02/2026,23/02/2026,20/02/2026,20/02/2026,19/02/2026,19/02/2026,18/02/2026,18/02/2026,17/02/2026,17/02/2026,16/02/2026,16/02/2026,13/02/2026,13/02/2026,12/02/2026,12/02/2026,11/02/2026,11/02/2026,10/02/2026,10/02/2026,9/02/2026,9/02/2026,6/02/2026,6/02/2026,5/02/2026,5/02/2026,4/02/2026,4/02/2026,3/02/2026,3/02/2026,2/02/2026,2/02/2026,30/01/2026,30/01/2026,29/01/2026,29/01/2026,28/01/2026,28/01/2026,27/01/2026,27/01/2026,23/01/2026,23/01/2026,22/01/2026,22/01/2026,21/01/2026,21/01/2026,20/01/2026,20/01/2026,19/01/2026,19/01/2026,16/01/2026,16/01/2026,15/01/2026,15/01/2026,14/01/2026,14/01/2026,13/01/2026,13/01/2026,12/01/2026,12/01/2026,9/01/2026,9/01/2026,8/01/2026,8/01/2026,7/01/2026,7/01/2026,6/01/2026,6/01/2026,5/01/2026,5/01/2026,2/01/2026,2/01/2026
Product,Product Code,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions,Reported Short Positions,% of Total Product in Issue Reported as Short Positions
3D ENERGI LTD ORDINARY,TDO,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,181029,0.03,263268,0.05,278520,0.05,428520,0.08,428520,0.08,428520,0.08,530814,0.10,530814,0.10,583733,0.11,592668,0.11,603578,0.12,603578,0.12,603578,0.12,-,-
3P LEARNING LTD ORDINARY,3PL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,232,0.00,232,0.00,232,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6480,0.00,6480,0.00,6480,0.00,6573,0.00,6574,0.00,6574,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4DMEDICAL LIMITED ORDINARY,4DX,26095514,4.42,24861281,4.21,22627480,3.84,9554116,1.62,9532665,1.62,9382740,1.59,7320554,1.24,7159963,1.21,7467374,1.27,11779538,2.00,11163885,1.89,11959187,2.03,13716725,2.33,13405434,2.33,16171683,2.82,17845360,3.11,10152997,1.77,9235401,1.61,13574441,2.36,15944689,2.78,17337310,3.02,3137214,0.55,2800105,0.49,2521897,0.44,2478400,0.43,2300029,0.40,2475700,0.43,2412928,0.42,2265175,0.39,2544585,0.44,2405324,0.42,2574534,0.45,2314908,0.40,1697848,0.30,1742037,0.30,2134594,0.37,833103,0.15,746250,0.13,708988,0.12,632763,0.11,642956,0.11,682954,0.12,666797,0.12,773056,0.14,681061,0.12,640875,0.11,560027,0.10,444275,0.08,557061,0.10,425270,0.07,334213,0.06,390391,0.07,267373,0.05,194016,0.03,-,-,119402,0.02,-,-,286470,0.05,300888,0.05,317299,0.06,237861,0.04,386033,0.07,1061404,0.20,720447,0.13,720000,0.13,651977,0.12,1977,0.00,1977,0.00,1977,0.00,379639,0.07,1268,0.00,326958,0.06,375094,0.07,381042,0.07,317967,0.06
6KADDITIVE CDI1:1 USPROHEXCLQIB,6KA,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,5963,0.00,5710,0.00,5710,0.00,5710,0.00,5710,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5731,0.00,5731,0.00,5731,0.00,5731,0.00,5731,0.00,5731,0.00,5731,0.00,5731,0.00,5731,0.00
29METALSLIMITED ORDINARY,29M,1787213,0.10,1776740,0.10,1776740,0.10,1776740,0.10,-,-,2713,0.00,36868,0.00,-,-,-,-,-,-,1074,0.00,8210,0.00,319,0.00,319,0.00,361771,0.02,361771,0.02,361771,0.02,402568,0.02,413010,0.02,443531,0.03,465379,0.03,445768,0.03,446076,0.03,364435,0.02,398775,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,361771,0.02,648431,0.04,648431,0.04,362154,0.02,362154,0.02,381253,0.02,5927567,0.36,5005270,0.30,4777448,0.29,4791761,0.29,4686665,0.28,3693261,0.22,4298262,0.26,2782197,0.17,3651761,0.22,3744261,0.22,4269064,0.26,3219121,0.19,4106758,0.25,5503475,0.33,4548917,0.27,9225511,0.67,9500017,0.69,8797779,0.64,8524206,0.62,4413994,0.32,4619840,0.34,4617425,0.34,4569888,0.33,4556103,0.33,4502472,0.33,4456722,0.32,4310944,0.31,4242444,0.31,4239531,0.31,4024730,0.29,4049055,0.30,4070624,0.30
88 ENERGY LTD ORDINARY,88E,263206,0.02,269725,0.02,538520,0.04,596520,0.04,596520,0.04,542650,0.04,419938,0.03,451206,0.03,429217,0.03,425381,0.03,425568,0.03,292250,0.03,263206,0.02,292250,0.03,263206,0.02,263206,0.02,263206,0.02,419878,0.04,1067467,0.09,566867,0.05,860794,0.07,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02,263206,0.02
ABACUS GROUP FPO/UNITS STAPLED,ABG,8832376,0.99,8666714,0.97,8391972,0.94,8217820,0.92,8628118,0.97,8440580,0.94,8680649,0.97,8866380,0.99,9228590,1.03,9311823,1.04,9360681,1.05,6865965,0.77,9799388,1.10,9341808,1.05,9411940,1.05,9990742,1.12,9400456,1.05,10288130,1.15,10075497,1.13,11719340,1.31,11632230,1.30,11484984,1.29,11008904,1.23,11045443,1.24,10766664,1.20,10754481,1.20,10763824,1.20,10477087,1.17,10560461,1.18,10498136,1.17,10671246,1.19,10842338,1.21,10850862,1.21,10740395,1.20,10965974,1.23,10974085,1.23,10806485,1.21,11011427,1.23,10949397,1.23,10481700,1.17,10533610,1.18,10487854,1.17,9723191,1.09,9370664,1.05,8779923,0.98,8597778,0.96,7369357,0.82,7429613,0.83,6703807,0.75,6903363,0.77,6586053,0.74,5817907,0.65,5635408,0.63,5127524,0.57,4538650,0.51,4207661,0.47,4073151,0.46,4017950,0.45,3576076,0.40,3284036,0.37,3607140,0.40,3572077,0.40,3477767,0.39,3506527,0.39,3571659,0.40,3570344,0.40,3596218,0.40,3700655,0.41,3757036,0.42,3497374,0.39,3800688,0.43,3915310,0.44,3783095,0.42,3895198,0.44,3727936,0.42
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,15704218,1.20,15388446,1.17,15387395,1.17,15188329,1.16,15007754,1.14,15182085,1.16,15091671,1.15,15121363,1.15,15020043,1.14,15093527,1.15,15127603,1.15,11599199,0.88,15225114,1.16,14162959,1.08,14663737,1.12,14485293,1.10,14560975,1.11,14573481,1.11,14358513,1.09,14282350,1.09,14332876,1.09,14346558,1.09,14401280,1.10,14458378,1.10,14279864,1.09,14031862,1.07,14069784,1.07,13436050,1.02,13328646,1.01,13278611,1.01,13056334,0.99,13165329,1.00,13288880,1.01,13152669,1.00,13002419,0.99,12983238,0.99,12798010,0.97,12693508,0.97,12443056,0.95,11973813,0.91,11609545,0.88,11019939,0.84,10550604,0.80,9861513,0.75,9374768,0.71,9301698,0.71,9254554,0.70,9209282,0.70,9349969,0.71,9563684,0.73,9911440,0.75,9848383,0.75,9779682,0.74,9527212,0.72,9463521,0.72,8815964,0.67,9484170,0.72,9308395,0.71,9374974,0.71,5524217,0.42,8748398,0.67,8287880,0.63,8694748,0.66,8862620,0.67,8870624,0.68,8950929,0.68,8879585,0.68,8820549,0.67,8807039,0.67,8790033,0.67,8724887,0.66,8581196,0.65,8658006,0.66,8560856,0.65,8541536,0.65
ACCENT GROUP LTD ORDINARY,AX1,10778617,1.79,11101274,1.85,10985012,1.83,11261361,1.87,11777015,1.96,11977610,1.99,11958536,1.99,11980191,1.99,11748686,1.95,11841758,1.97,12356586,2.06,12457566,2.07,12634573,2.10,13071461,2.17,13005898,2.16,11932566,1.98,11958213,1.99,11545429,1.92,12425285,2.07,12345405,2.05,13911678,2.31,21801336,3.63,24812453,4.13,22499214,3.74,21644579,3.60,21907199,3.64,21847176,3.63,21424478,3.56,21743444,3.62,21386781,3.56,22142457,3.68,22252546,3.70,22542230,3.75,23307545,3.88,23248385,3.87,24081158,4.01,35710709,5.94,36344867,6.05,39590297,6.59,40235245,6.69,39941213,6.64,39652397,6.60,39127021,6.51,40164391,6.68,40416666,6.72,40784901,6.78,39587466,6.58,39673623,6.60,39402499,6.55,39556124,6.58,39865578,6.63,38816636,6.46,38261613,6.36,36677677,6.10,36068658,6.00,35699335,5.94,35446607,5.90,34695870,5.77,33919196,5.64,30151569,5.02,33207502,5.52,34852811,5.80,33435365,5.56,33285113,5.54,32938608,5.48,32858547,5.47,32562618,5.42,32201876,5.36,31061941,5.17,30895502,5.14,31323662,5.21,31216662,5.19,31060905,5.17,30484899,5.07,29387773,4.89
