ASX Listed Companies (1 October 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
14D,1414 Degrees Limited,Industrials,"28,791,000",1,,"2,277,920,890,079",
1ST,1ST Group Limited,Health Care,"21,323,200",1,,,
3PL,3P Learning Limited,Consumer Discretionary,"120,611,000",5,,Sector Breakdown,
4DS,4DS Memory Limited,Information Technology,"77,232,200",3,,Consumer Discretionary,2.07
5GN,5G Networks Limited,Telecommunication Services,"37,398,500",2,,Consumer Staples,2
88E,88 Energy Limited,Energy,"82,458,500",4,,Energy,0.68
8CO,8COMMON Limited,Information Technology,"15,013,000",1,,Financials,11.8
8IH,8I Holdings Limited,Financials,"32,558,300",1,,Health Care,5.58
8EC,8IP Emerg Co Limited,,"3,158,390",0,,Industrials,3.19
8VI,8VIC Holdings Limited,,"8,715,490",0,,Information Technology,1.53
9SP,9 Spokes Int Limited,Information Technology,"17,080,100",1,,Materials,7.19
ACB,A-Cap Energy Limited,Energy,"26,156,500",1,,Real Estate,1.21
A2B,A2B Australia Limited,Industrials,"177,033,000",8,,Telecommunication Services,0.09
ABP,Abacus Property Group,Real Estate,"2,529,690,000",111,,Utilities,1.5
ABL,Abilene Oil & Gas,Energy,"1,192,840",0,,,
AEG,Absolute Equity Perf,,"95,346,100",4,,,
ABT,Abundant Produce Limited,Consumer Staples,"4,998,650",0,,,
ACS,Accent Resources NL,Materials,543.001,0,,,
ACQ,Acorn Cap INV Fund,,"57,281,500",3,,,
ACF,Acrow Formwork,Industrials,"43,483,000",2,,,
ACR,ACRUX Limited,Health Care,"30,011,900",1,,,
ACW,Actinogen Medical,Health Care,"10,073,100",0,,,
ADA,Adacel Technologies,Information Technology,"34,312,200",2,,,
ADH,Adairs Limited,Consumer Discretionary,"315,162,000",14,,,
1AD,Adalta Limited,Health Care,"22,919,900",1,,,
ADD,Adavale Resource Limited,Energy,"1,074,880",0,,,
AAU,Adcorp Australia,Consumer Discretionary,"4,550,750",0,,,
ABC,Adelaide Brighton,Materials,"1,987,760,000",87,,,
ADR,Adherium Limited,Health Care,"4,350,800",0,,,
ADY,Admiralty Resources,Materials,"12,750,500",1,,,
ADT,Adriatic Metals,Materials,"111,284,000",5,,,
ADJ,Adslot Limited,Information Technology,"42,876,200",2,,,
ABV,ADV Braking Tech Limited,Consumer Discretionary,"7,745,540",0,,,
ADX,ADX Energy Limited,Energy,"14,786,100",1,,,
AER,Aeeris Limited,Information Technology,"8,096,470",0,,,
AEI,Aeris Environmental,Industrials,"53,362,400",2,,,
AFL,Af Legal Group Limited,Industrials,"10,517,000",0,,,
AEB,Affinity Energy,Health Care,"8,774,330",0,,,
AFR,African Energy Res,Energy,"11,280,400",0,,,
A1G,African Gold Limited,Materials,"5,537,590",0,,,
AFT,AFT Corporation,Information Technology,"9,020,530",0,,,
AFP,Aft Pharmaceuticals Foreign Exempt NZX,Health Care,"272,462,000",12,,,
AGL,AGL Energy Limited,Utilities,"12,519,500,000",0.55,,,
AGJ,Agricultural Land Ordinary Units FP,Real Estate,"6,338,150",0,,,
AGR,Aguia Res Limited,Materials,"37,134,000",2,,,
