ASX Listed Companies (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
14D,1414 Degrees Ltd,Industrials,"19,020,000",0.001,,"1,924,204,673,739",
1ST,1ST Group Ltd,Health Care,"12,738,500",0.001,,,
3PL,3P Learning Ltd,Consumer Discretionary,"104,613,000",0.005,,Sector Breakdown,
4DS,4DS Memory Ltd,Information Technology,"48,978,900",0.003,,Consumer Discretionary,1.87
5GN,5G Networks Ltd,,"66,627,100",0.003,,Consumer Staples,2.44
88E,88 Energy Ltd,Energy,"42,657,800",0.002,,Energy,0.6
8CO,8COMMON Ltd,Information Technology,"10,975,000",0.001,,Financials,10.07
8IH,8I Holdings Ltd,Financials,"35,452,400",0.002,,Health Care,8.35
8EC,8IP Emerging Companies Ltd,,"3,199,410",0,,Industrials,3.17
8VI,8VIC Holdings Ltd,Consumer Discretionary,"13,073,200",0.001,,Information Technology,1.48
9SP,9 Spokes International Ltd,Information Technology,"19,449,000",0.001,,Materials,7.31
ACB,A-Cap Energy Ltd,Energy,"12,206,400",0.001,,Real Estate,1.03
A2B,A2B Australia Ltd,Industrials,"95,140,200",0.005,,Telecommunication Services,0
ABP,Abacus Property Group,Real Estate,"1,653,360,000",0.086,,Utilities,1.65
ABL,Abilene Oil and Gas Ltd,Energy,"397,614",0,,,
AEG,Absolute Equity Performance Fund Ltd,,"110,381,000",0.006,,,
ABT,Abundant Produce Ltd,Consumer Staples,"1,864,460",0,,,
ACS,Accent Resources NL,Materials,"905,001",0,,,
ACQ,Acorn Capital Investment Fund Ltd,,"48,018,400",0.002,,,
ACF,Acrow Formwork and Construction Services Ltd,Industrials,"51,893,700",0.003,,,
ACR,ACRUX Ltd,Health Care,"24,438,100",0.001,,,
ACW,Actinogen Medical Ltd,Health Care,"23,440,900",0.001,,,
ACU,Acumentis Group Ltd,Real Estate,"10,586,200",0.001,,,
AD1,AD1 Holdings Ltd,Communication Services,"6,028,640",0,,,
ADA,Adacel Technologies Ltd,Information Technology,"32,024,700",0.002,,,
ADH,Adairs Ltd,Consumer Discretionary,"267,142,000",0.014,,,
1AD,Adalta Ltd,Health Care,"10,000,700",0.001,,,
ADD,Adavale Resources Ltd,Energy,"2,739,110",0,,,
ABC,Adelaide Brighton Ltd,Materials,"1,780,690,000",0.093,,,
ADR,Adherium Ltd,Health Care,"15,905,400",0.001,,,
AHZ,Admedus Ltd,Health Care,"43,145,200",0.002,,,
ADY,Admiralty Resources NL,Materials,"5,795,670",0,,,
ADT,Adriatic Metals Plc,Materials,"153,494,000",0.008,,,
ADJ,Adslot Ltd,Information Technology,"39,908,100",0.002,,,
ABV,Advanced Braking Technology Ltd,Consumer Discretionary,"8,341,270",0,,,
ADX,ADX Energy Ltd,Energy,"10,263,400",0.001,,,
AER,Aeeris Ltd,Communication Services,"4,857,880",0,,,
AEI,Aeris Environmental Ltd,Industrials,"138,086,000",0.007,,,
AFL,Af Legal Group Ltd,Industrials,"10,216,500",0.001,,,
AEB,Affinity Energy and Health Ltd,Health Care,"8,774,330",0,,,
AFR,African Energy Resources Ltd,Energy,"18,065,900",0.001,,,
A1G,African Gold Ltd,Materials,"2,609,750",0,,,
AFT,AFT Corporation Ltd,Information Technology,"9,020,530",0,,,
AFP,Aft Pharmaceuticals Ltd,Health Care,"369,770,000",0.019,,,
AGL,AGL Energy Ltd,Utilities,"10,669,800,000",0.555,,,
AGJ,Agricultural Land Trust,Real Estate,"2,145,220",0,,,
AGR,Aguia Resources Ltd,Materials,"17,889,400",0.001,,,
AHL,Ahalife Holdings Ltd,Consumer Discretionary,"6,649,940",0,,,
A1M,Aic Mines Ltd,Materials,"14,300,100",0.001,,,
AGI,Ainsworth Game Technology Ltd,Consumer Discretionary,"146,505,000",0.008,,,
