Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:CBA,"Commonwealth Bank (ASX:CBA)",https://www.listcorp.com/asx/cba/commonwealth-bank,"	291367000000",176.35,2.25,1.29,Financials
ASX:BHP,"BHP Group Limited (ASX:BHP)",https://www.listcorp.com/asx/bhp/bhp-group-limited,"	216057000000",42.34,-0.20,-0.47,Materials
ASX:WBC,"Westpac Banking Corp (ASX:WBC)",https://www.listcorp.com/asx/wbc/westpac,"	138251000000",40.21,-0.21,-0.52,Financials
ASX:NAB,"National Australia Bank Limited (ASX:NAB)",https://www.listcorp.com/asx/nab/national-australia-bank-limited,"	134130000000",44.53,0.74,1.69,Financials
ASX:ANZ,"ANZ Group Holdings Limited (ASX:ANZ)",https://www.listcorp.com/asx/anz/anz-group-holdings-limited,"	109883000000",36.84,0.01,0.03,Financials
ASX:WES,"Wesfarmers Limited (ASX:WES)",https://www.listcorp.com/asx/wes/wesfarmers-limited,"	93566300000",82.13,-0.35,-0.42,"Consumer Discretionary"
ASX:CSL,"CSL Limited (ASX:CSL)",https://www.listcorp.com/asx/csl/csl-limited,"	85866900000",176.34,-0.65,-0.37,"Health Care"
ASX:MQG,"Macquarie Group Limited (ASX:MQG)",https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	82787100000",216.43,-0.78,-0.36,Financials
ASX:GMG,"Goodman Group (ASX:GMG)",https://www.listcorp.com/asx/gmg/goodman-group,"	66108200000",31.23,-1.10,-3.4,"Real Estate"
ASX:FMG,"Fortescue Ltd (ASX:FMG)",https://www.listcorp.com/asx/fmg/fortescue-ltd,"	63088000000",19.97,-0.52,-2.54,Materials
ASX:TLS,"Telstra Group Limited (ASX:TLS)",https://www.listcorp.com/asx/tls/telstra-group-limited,"	54801900000",4.91,0.07,1.45,"Communication Services"
ASX:RIO,"Rio Tinto (ASX:RIO)",https://www.listcorp.com/asx/rio/rio-tinto,"	48035400000",127.84,-1.57,-1.21,Materials
ASX:WDS,"Woodside Energy Group Ltd (ASX:WDS)",https://www.listcorp.com/asx/wds/woodside-energy-group,"	47413400000",25.16,0.22,0.88,Energy
ASX:TCL,"Transurban Group (ASX:TCL)",https://www.listcorp.com/asx/tcl/transurban-group,"	45007200000",14.57,0.12,0.83,Industrials
ASX:ALL,"Aristocrat Leisure Limited (ASX:ALL)",https://www.listcorp.com/asx/all/aristocrat-leisure-limited,"	38893800000",63.08,0.03,0.05,"Consumer Discretionary"
ASX:SIG,"Sigma Healthcare Limited (ASX:SIG)",https://www.listcorp.com/asx/sig/sigma-healthcare-limited,"	35785500000",3.12,0.02,0.65,"Health Care"
ASX:WOW,"Woolworths Group Limited (ASX:WOW)",https://www.listcorp.com/asx/wow/woolworths-group,"	34290200000",28.12,0.05,0.18,"Consumer Staples"
ASX:NST,"Northern Star Resources Limited (ASX:NST)",https://www.listcorp.com/asx/nst/northern-star-resources-limited,"	34208900000",23.8,-0.11,-0.46,Materials
ASX:BXB,"Brambles Limited (ASX:BXB)",https://www.listcorp.com/asx/bxb/brambles-limited,"	31891300000",23.92,0.51,2.18,Industrials
ASX:QBE,"QBE Insurance Group Limited (ASX:QBE)",https://www.listcorp.com/asx/qbe/qbe-insurance-group-limited,"	29418600000",19.48,0.00,0,Financials
ASX:COL,"Coles Group Limited (ASX:COL)",https://www.listcorp.com/asx/col/coles-group-limited,"	29258600000",21.97,0.17,0.78,"Consumer Staples"
ASX:REA,"REA Group Ltd (ASX:REA)",https://www.listcorp.com/asx/rea/rea-group,"	28043200000",213.18,0.91,0.43,"Communication Services"
ASX:PME,"Pro Medicus Limited (ASX:PME)",https://www.listcorp.com/asx/pme/pro-medicus,"	26993100000",254.57,-3.72,-1.44,"Health Care"
ASX:XRO,"Xero Limited (ASX:XRO)",https://www.listcorp.com/asx/xro/xero-limited,"	24152600000",144.63,-1.34,-0.92,"Information Technology"
ASX:WTC,"WiseTech Global Limited (ASX:WTC)",https://www.listcorp.com/asx/wtc/wisetech-global-limited,"	23021600000",67.55,-0.96,-1.4,"Information Technology"
ASX:VAS,"Vanguard Australian Shares Index ETF (ASX:VAS)",https://www.listcorp.com/asx/vas/vanguard-australian-shares-index-etf,"	22159500000",109.3,-0.10,-0.09,Unclassified
ASX:RMD,"ResMed Inc (ASX:RMD)",https://www.listcorp.com/asx/rmd/resmed-inc,"	21848800000",37.99,0.22,0.58,"Health Care"
ASX:EVN,"Evolution Mining Limited (ASX:EVN)",https://www.listcorp.com/asx/evn/evolution-mining-limited,"	21076900000",10.33,-0.05,-0.48,Materials
ASX:CPU,"Computershare Limited (ASX:CPU)",https://www.listcorp.com/asx/cpu/computershare-limited,"	21030200000",36.57,0.21,0.58,Industrials
ASX:SCG,"Scentre Group Limited (ASX:SCG)",https://www.listcorp.com/asx/scg/scentre-group-limited,"	20917800000",4.06,0.05,1.25,"Real Estate"
ASX:SUN,"Suncorp Group Limited (ASX:SUN)",https://www.listcorp.com/asx/sun/suncorp-group-limited,"	20717200000",19.25,0.12,0.63,Financials
ASX:STO,"Santos Limited (ASX:STO)",https://www.listcorp.com/asx/sto/santos-limited,"	20590900000",6.32,-0.02,-0.32,Energy
ASX:ORG,"Origin Energy Limited (ASX:ORG)",https://www.listcorp.com/asx/org/origin-energy-limited,"	20500700000",11.94,0.04,0.34,Utilities
ASX:PMGOLD,"Perth Mint Gold Structured Product (ASX:PMGOLD)",https://www.listcorp.com/asx/pmgold/perth-mint-gold-structured-product,"	19511800000",60.85,0.16,0.26,Unclassified
ASX:SGH,"SGH Limited (ASX:SGH)",https://www.listcorp.com/asx/sgh/sgh-limited,"	19267300000",46.81,-0.53,-1.12,Industrials
ASX:FPH,"Fisher & Paykel Healthcare Corporation Limited (ASX:FPH)",https://www.listcorp.com/asx/fph/fisher-and-paykel-healthcare-corporation-limited,"	18904000000",32.7,0.51,1.58,"Health Care"
ASX:COH,"Cochlear Limited (ASX:COH)",https://www.listcorp.com/asx/coh/cochlear-limited,"	18356000000",284.82,4.13,1.47,"Health Care"
ASX:IAG,"Insurance Australia Group Limited (ASX:IAG)",https://www.listcorp.com/asx/iag/insurance-australia-group-limited,"	18354600000",7.82,0.06,0.77,Financials
ASX:SOLDA,"Washington H. Soul Pattinson and Company Limited (Deferred) (ASX:SOLDA)",https://www.listcorp.com/asx/solda/washington-h.-soul-pattinson-and-company-limited-deferred,"	17731600000",40.88,0.00,0,Financials
ASX:QAN,"Qantas Airways Limited (ASX:QAN)",https://www.listcorp.com/asx/qan/qantas-airways-limited,"	15495200000",10.16,-0.08,-0.78,Industrials
ASX:SGP,"Stockland (ASX:SGP)",https://www.listcorp.com/asx/sgp/stockland,"	14994500000",6.16,-0.03,-0.48,"Real Estate"
ASX:SOL,"Washington H. Soul Pattinson and Company Limited (ASX:SOL)",https://www.listcorp.com/asx/sol/washington-h.-soul-pattinson-and-company-limited,"	14212800000",37.83,0.42,1.12,Financials
ASX:LYC,"Lynas Rare Earths Limited (ASX:LYC)",https://www.listcorp.com/asx/lyc/lynas-rare-earths-limited,"	13940100000",13.4,-0.45,-3.25,Materials
ASX:S32,"South32 Limited (ASX:S32)",https://www.listcorp.com/asx/s32/south32-limited,"	13752800000",3.02,-0.04,-1.31,Materials
ASX:VGS,"Vanguard MSCI Index International Shares ETF (ASX:VGS)",https://www.listcorp.com/asx/vgs/vanguard-msci-index-international-shares-etf,"	13523100000",154.1,-0.54,-0.35,Unclassified
