ASX listed companies as at Mon Mar 09 08:45:10 AEDT 2026

Company name,ASX code,GICS industry group
"1414 DEGREES LIMITED","14D","Capital Goods"
"29METALS LIMITED","29M","Materials"
"333D LIMITED","T3D","Commercial & Professional Services"
"360 CAPITAL MORTGAGE REIT","TCF","Not Applic"
"360 CAPITAL REIT","TOT","Equity Real Estate Investment Trusts (REITs)"
"3D ENERGI LIMITED","TDO","Energy"
"3P LEARNING LIMITED..","3PL","Consumer Services"
"49 METALS LIMITED","49M","Class Pend"
"4DMEDICAL LIMITED","4DX","Health Care Equipment & Services"
"4DS MEMORY LIMITED","4DS","Semiconductors & Semiconductor Equipment"
"5E ADVANCED MATERIALS INC.","5EA","Materials"
"5G NETWORKS LIMITED.","5GN","Software & Services"
"6K ADDITIVE, INC.","6KA","Materials"
"88 ENERGY LIMITED","88E","Energy"
"8COMMON LIMITED","8CO","Software & Services"
"8I HOLDINGS LTD","8IH","Financial Services"
"ABACUS GROUP","ABG","Equity Real Estate Investment Trusts (REITs)"
"ABACUS STORAGE KING","ASK","Equity Real Estate Investment Trusts (REITs)"
"ABX GROUP LIMITED","ABX","Materials"
"ACADEMIES AUSTRALASIA GROUP LIMITED","AKG","Consumer Services"
"ACCELERATE RESOURCES LIMITED","AX8","Materials"
"ACCENT GROUP LIMITED","AX1","Consumer Discretionary Distribution & Retail"
"ACCENT RESOURCES NL","ACS","Materials"
"ACDC METALS LTD","ADC","Materials"
"ACORN CAPITAL INVESTMENT FUND LIMITED","ACQ","Not Applic"
"ACROW LIMITED","ACF","Capital Goods"
"ACRUX LIMITED","ACR","Pharmaceuticals, Biotechnology & Life Sciences"
"ACTINOGEN MEDICAL LIMITED","ACW","Pharmaceuticals, Biotechnology & Life Sciences"
"ACTIVEPORT GROUP LTD","ATV","Software & Services"
"ACTIVEX LIMITED","AIV","Materials"
"ACUMENTIS GROUP LIMITED","ACU","Real Estate Management & Development"
"ACUSENSUS LIMITED.","ACE","Software & Services"
"ADAIRS LIMITED","ADH","Consumer Discretionary Distribution & Retail"
"ADALTA LIMITED","1AD","Pharmaceuticals, Biotechnology & Life Sciences"
"ADAVALE RESOURCES LIMITED","ADD","Energy"
"ADELONG GOLD LIMITED","ADG","Materials"
"ADHERIS HEALTH LIMITED","AHE","Health Care Equipment & Services"
"ADHERIUM LIMITED","ADR","Health Care Equipment & Services"
"ADISYN LTD","AI1","Software & Services"
"ADMIRALTY RESOURCES NL.","ADY","Materials"
"ADNEO LIMITED","AD1","Media & Entertainment"
"ADORE BEAUTY GROUP LIMITED","ABY","Consumer Discretionary Distribution & Retail"
"ADRAD HOLDINGS LIMITED","AHL","Automobiles & Components"
"ADSLOT LTD.","ADS","Software & Services"
"ADVANCE METALS LIMITED","AVM","Materials"
"ADVANCE ZINCTEK LIMITED","ANO","Materials"
"ADVANCED BRAKING TECHNOLOGY LTD","ABV","Automobiles & Components"
"ADVANCED ENERGY MINERALS LTD","AEM","Materials"
"ADVANCED INNERGY HOLDINGS LIMITED","AIH","Capital Goods"
"ADVERITAS LIMITED","AV1","Software & Services"
"ADX ENERGY LTD","ADX","Energy"
"AEERIS LTD","AER","Media & Entertainment"
"AERIS ENVIRONMENTAL LTD","AEI","Commercial & Professional Services"
"AERIS RESOURCES LIMITED","AIS","Materials"
"AEROMETREX LIMITED","AMX","Commercial & Professional Services"
"AF LEGAL GROUP LTD","AFL","Commercial & Professional Services"
"AFG 2023-1 TRUST IN RESPECT OF SERIES 2023-1","AFT","Not Applic"
"AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1","AF4","Not Applic"
"AFG 2025-1 TRUST IN RESPECT OF SERIES 2025-1","AF6","Not Applic"
"AFG 2025-1NC TRUST IN RESPECT OF SERIES 2025-1NC","AF5","Not Applic"
"AFRICAN GOLD LTD.","A1G","Materials"
"AFT PHARMACEUTICALS LIMITED","AFP","Pharmaceuticals, Biotechnology & Life Sciences"
"AGL ENERGY LIMITED.","AGL","Utilities"
"AGRIMIN LIMITED","AMN","Materials"
"AGUIA RESOURCES LIMITED","AGR","Materials"
"AI-MEDIA TECHNOLOGIES LIMITED","AIM","Software & Services"
"AIC MINES LIMITED","A1M","Materials"
"AIMS PROPERTY SECURITIES FUND","APW","Equity Real Estate Investment Trusts (REITs)"
"AINSWORTH GAME TECHNOLOGY LIMITED","AGI","Consumer Services"
"AIR NEW ZEALAND LIMITED","AIZ","Transportation"
"AIRTASKER LIMITED","ART","Media & Entertainment"
"AJ LUCAS GROUP LIMITED","AJL","Capital Goods"
"AKORA RESOURCES LIMITED","AKO","Materials"
"ALAND EQUITY GROUP LIMITED","AEG","Financial Services"
"ALARA RESOURCES LIMITED","AUQ","Materials"
"ALBION RESOURCES LIMITED","ALB","Materials"
"ALBRIGHT METALS LTD","ABR","Materials"
"ALCHEMY RESOURCES LIMITED","ALY","Materials"
"ALCIDION GROUP LIMITED","ALC","Health Care Equipment & Services"
"ALCOA CORPORATION","AAI","Materials"
"ALDORO RESOURCES LIMITED","ARN","Materials"
"ALEXIUM INTERNATIONAL GROUP LIMITED","AJX","Materials"
"ALFABS AUSTRALIA LIMITED","AAL","Capital Goods"
"ALGORAE PHARMACEUTICALS LIMITED","1AI","Pharmaceuticals, Biotechnology & Life Sciences"
"ALICANTO MINERALS LIMITED","AQI","Materials"
"ALICE QUEEN LIMITED","AQX","Materials"
"ALKANE RESOURCES LIMITED","ALK","Materials"
"ALLIANCE AVIATION SERVICES LIMITED","AQZ","Transportation"
"ALLIANCE NICKEL LIMITED","AXN","Materials"
"ALLIED CREDIT ABS TRUST 2025-1P","AC2","Not Applic"
"ALLIED CREDIT ABS TRUST 2025-2","AC3","Not Applic"
"ALLIGATOR ENERGY LIMITED","AGE","Energy"
"ALMA METALS LIMITED","ALM","Energy"
"ALMONTY INDUSTRIES INC.","AII","Materials"
"ALPHA HPA LIMITED","A4N","Materials"
"ALS LIMITED","ALQ","Commercial & Professional Services"
"ALTAIR MINERALS LIMITED","ALR","Materials"
"ALTAMIN LIMITED","AZI","Materials"
"ALTECH BATTERIES LTD","ATC","Materials"
"ALTERITY THERAPEUTICS LIMITED","ATH","Pharmaceuticals, Biotechnology & Life Sciences"
"ALTERNATIVE INVESTMENT TRUST","AIQ","Not Applic"
"ALTITUDE MINERALS LTD","ATT","Materials"
"ALVO MINERALS LIMITED","ALV","Materials"
"AMA GROUP LIMITED","AMA","Commercial & Professional Services"
"AMAERO LTD","3DA","Capital Goods"
"AMBERTECH LIMITED","AMO","Technology Hardware & Equipment"
"AMCIL LIMITED","AMH","Not Applic"
"AMCOR PLC","AMC","Materials"
"AMERICAN RARE EARTHS LIMITED","ARR","Materials"
"AMERICAN TUNGSTEN & ANTIMONY LTD","AT4","Materials"
"AMERICAN URANIUM LTD","AMU","Materials"
"AMERICAN WEST METALS LIMITED","AW1","Materials"
"AML3D LIMITED","AL3","Capital Goods"
"AMOTIV LIMITED","AOV","Automobiles & Components"
"AMP LIMITED","AMP","Financial Services"
"AMPLIA THERAPEUTICS LIMITED","ATX","Pharmaceuticals, Biotechnology & Life Sciences"
"AMPLITUDE ENERGY LIMITED","AEL","Energy"
"AMPOL LIMITED","ALD","Energy"
"ANAGENICS LIMITED","AN1","Pharmaceuticals, Biotechnology & Life Sciences"
"ANATARA LIFESCIENCES LTD","ANR","Pharmaceuticals, Biotechnology & Life Sciences"
"ANAX METALS LIMITED","ANX","Materials"
"ANDEAN SILVER LIMITED","ASL","Materials"
"ANDROMEDA METALS LIMITED","ADN","Materials"
"ANEKA TAMBANG (PERSERO) TBK (PT)","ATM","Materials"
"ANGLE ASSET FINANCE - RADIAN TRUST 2025-1","AF2","Not Applic"
"ANGLE ASSET FINANCE - RADIAN TRUST 2025-2","AF7","Not Applic"
"ANSELL LIMITED","ANN","Health Care Equipment & Services"
"ANSON RESOURCES LIMITED","ASN","Materials"
"ANTARES METALS LIMITED","AM5","Materials"
"ANTEOTECH LTD","ADO","Pharmaceuticals, Biotechnology & Life Sciences"
"ANTERIS TECHNOLOGIES GLOBAL CORP.","AVR","Health Care Equipment & Services"
"ANTILLES GOLD LIMITED","AAU","Materials"
"ANTIPA MINERALS LIMITED","AZY","Materials"
"ANZ GROUP HOLDINGS LIMITED","ANZ","Banks"
"APA GROUP","APA","Utilities"
"APA INFRASTRUCTURE LIMITED","AP2","Not Applic"
"APC MINERALS LIMITED","APC","Materials"
"APOLLO MINERALS LIMITED","AON","Materials"
"APOLLO SERIES 2017-2 TRUST","AO2","Not Applic"
"APOLLO SERIES 2018-1 TRUST","AO3","Not Applic"
"APPEN LIMITED","APX","Software & Services"
"AQUIRIAN LIMITED","AQN","Commercial & Professional Services"
"ARAFURA RARE EARTHS LTD","ARU","Materials"
"ARB CORPORATION LIMITED.","ARB","Automobiles & Components"
"ARC FUNDS LIMITED","ARC","Financial Services"
"ARCADIA MINERALS LIMITED","AM7","Materials"
"ARCHER MATERIALS LIMITED","AXE","Semiconductors & Semiconductor Equipment"
"ARCHTIS LIMITED","AR9","Software & Services"
"ARDEA RESOURCES LIMITED","ARL","Materials"
"ARDIDEN LTD","ADV","Materials"
